Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Штокало,Едита,Сергіївна,Жіноча,01-01-1958,Парфюмер,місто Вашківці,"площа Деревообробний 2-й, буд. 3 кв. 630, Ужгород, 81479",+380 41 972-39-38,uizhak@example.com
Архимович,Анастасія,Єфремівна,Жіноча,31-07-1988,Фармацевт,селище Золочів,"набережна Ангарська, буд. 731, Жовква, 41692",+380 19 148 07 71,umanetslevko@example.com
Червоненко,Михайлина,Охрімівна,Жіноча,19-06-1959,Піаніст,село Бахмут,"набережна Вєтрова, буд. 24, Вільнянськ, 02804",+380 45 993-29-30,symon96@example.com
Шахрай,Аліна,Вікторівна,Жіноча,04-01-1942,Клоун,місто Одеса,"сквер Український 1-й, буд. 708 кв. 17, Тлумач, 73099",+380 (30) 293-41-20,larkhymovych@example.com
Гузь,Святослава,Костянтинівна,Жіноча,31-03-1953,Драматург,село Костопіль,"провулок Авдєєва-Чорноморського, буд. 342, Ланівці, 93469",005 892 26 98,larysa16@example.net
Бевз,Оксенія,Августинівна,Жіноча,29-06-1964,Промисловець,місто Батурин,"проспект В’ячеслава Чорновола, буд. 210 кв. 00, Ромни, 18241",+380 94 095 27 32,vasylynabarabash@example.com
Власенко,Едита,Кирилівна,Жіноча,22-02-1961,Етнограф,селище Борислав,"проспект Маршала Бабаджаняна, буд. 4, Перещепине, 91621",062-71-68,deriazhnyiielysei@example.org
Рудько,Аліна,Васильівна,Жіноча,08-06-1986,Візажист,місто Тиврів,"узвіз Рибальська балка, буд. 3 кв. 310, Маріуполь, 86768",+380 24 524 93 68,nestorivanchenko@example.org
Затула,Аніта,Миронівна,Жіноча,14-06-2005,Астронавт,місто Ананьїв,"шосе Новаторів, буд. 1, Географія Вільнянська, 83957",052 719-03-46,usalii@example.org
Тригуб,Данна,Леонтіївна,Жіноча,02-05-1948,Вчитель,хутір Чугуїв,"вулиця Обільний 2-й, буд. 28, Чигирин, 28167",+380 20 724 23 48,havrylivoleksandr@example.org
Вакуленко,Сніжана,Болеславівна,Жіноча,29-08-1984,Палеонтолог,селище Кадіївка,"провулок Васнецова, буд. 11 кв. 9, Географія Вільнянська, 56474",031 076-35-73,ashutko@example.org
Худяк,Валентина,Ааронівна,Жіноча,22-04-1999,Громадський діяч,селище Немирів,"площа Коцебу міст, буд. 10 кв. 325, Балаклія, 57447",796-29-92,bohuslav90@example.net
Приходько,Варвара,Ростиславівна,Жіноча,11-08-1969,Інженер,місто Харків,"набережна Санітарна, буд. 40, Галич, 19929",051 254 63 22,albert43@example.org
Піддубний,Дарина,Пилипівна,Жіноча,17-10-1969,Золотар,село Монастирище,"набережна Лінія 40-ва, буд. 1, Тараща, 33979",+380 84 511-73-76,irynakorzh@example.org
Михалюк,Златослава,Євгенівна,Жіноча,16-07-1965,Мінералог,місто Іллінці,"площа Аеродромний 1-й, буд. 7, Кобеляки, 22141",089 300 71 95,valerii66@example.net
Гук,Галина,Єлисеївна,Жіноча,14-01-1993,Співак,місто Чернівці,"сквер Березовий, буд. 94, Берестечко, 79003",718-36-09,emiliiaverkhola@example.net
Симоненко,Соломія,Вадимівна,Жіноча,31-07-1955,Науковець,село Вишгород,"вулиця Санітарна, буд. 041 кв. 30, Вознесенськ, 25314",+380 72 489-79-27,iatsenkoavhustyn@example.org
Андрейко,Аліна,Артемівна,Жіноча,01-08-1991,Живописець,хутір Вижниця,"набережна Дунаєвського 3-й, буд. 811 кв. 3, Боково-Хрустальне, 84796",598 46 88,maksym61@example.com
Калениченко,Марʼяна,Арсенівна,Жіноча,20-07-1939,Кінорежисер,хутір Рені,"набережна Лядова, буд. 86 кв. 9, Чорноморськ, 02782",+380 96 766-40-93,makarenkoartem@example.com
Данильчук,Аніта,Азарівна,Жіноча,06-07-1964,Музикант,село Феодосія,"площа Академіка Гаркавого, буд. 81, Коростень, 07345",032 379 97 55,fedirverhun@example.com
Андріїшин,Анжела,Демʼянівна,Жіноча,30-10-1994,Конструктор,хутір Мостиська,"сквер ім. К.Г. Паустовського, буд. 733 кв. 50, Козятин, 67366",018 715 12 91,chornovilparmen@example.org
Баранник,Ольга,Едуардівна,Жіноча,11-10-1969,Етнограф,місто Коростень,"сквер Гетьманський, буд. 286, Кіцмань, 22592",004 069 69 99,lazarenkoaaron@example.org
Гречаник,Лариса,Леонтіївна,Жіноча,19-07-1956,Намотувальник,місто Зміїв,"сквер Марії Демченко, буд. 51, Деражня, 93366",092 632 72 11,mariana07@example.com
Токар,Ольга,Єлисеївна,Жіноча,03-07-1940,Історик,хутір Рудки,"шосе Академіка Вавилова, буд. 8, Гайворон, 38009",+380 45 176-48-10,zsyrotenko@example.com
Засядько,Надія,Демʼянівна,Жіноча,31-10-1990,Дипломат,місто Турка,"сквер Лютневий 2-й, буд. 377, Малин, 04294",+380 12 524-44-70,emiliiaartymovych@example.com
Якимчук,Ярослава,Панасівна,Жіноча,01-07-1995,Футболіст,село Заводське,"сквер Пересипська 5-та, буд. 471 кв. 208, Саки , 12188",061 660-32-04,andriiskopenko@example.net
Ящук,Анжела,Іванівна,Жіноча,04-09-1945,Сценарист,село Буча,"набережна Розумовський 2-й, буд. 58 кв. 5, Привілля, 67089",+380 (23) 480-36-16,ostapzhuchenko@example.org
Радченко,Орися,Юстимівна,Жіноча,30-04-1951,Ювелір,село Федорівка,"шосе Парашутний, буд. 042, Ізюм, 63063",506 72 44,viaremenko@example.com
Саєнко,Віолетта,Борисівна,Жіноча,14-07-1971,Клавішник,селище Бориспіль,"парк Монгольська, буд. 2, Теребовля, 29840",+380 58 883 11 43,liubovstus@example.com
Литвиненко,Софія,Прохорівна,Жіноча,03-08-1991,Адвокат,селище Вовчанськ,"провулок Локомотивний 3-й, буд. 0, Славутич, 58751",054 013-97-92,wievtushenko@example.org
Захаренко,Анастасія,Варфоломіївна,Жіноча,16-12-1981,Зоолог,село Антрацит ,"площа Пересипський 1-й, буд. 10 кв. 77, Ворожба, 58358",+380 88 626 17 82,ftovstukha@example.net
Шаблій,Анжела,Пантелеймонівна,Жіноча,23-01-1966,Швачка,село Гребінка,"сквер Лїнія 1-ша, буд. 11, Сіверськ, 25415",841 97 51,havriushenkopetro@example.net
Бабʼяк,Наталія,Валентинівна,Жіноча,02-06-1972,Ді-джей,селище Козятин,"проспект Юхима Геллера, буд. 00, Звенигородка, 54365",073 543 32 76,esvyrydenko@example.com
Бабенко,Наталія,Венедиктівна,Жіноча,23-02-1988,Фізик,місто Борщів,"набережна Гвоздична, буд. 762, Ворожба, 18349",+380 (24) 327-15-50,iashchuksvitlana@example.org
Чуйко,Любов,Орестівна,Жіноча,18-10-1989,Фармацевт,село Мерефа,"парк Восьмого березня 2-й, буд. 497, Обухів, 10072",067 282 08 67,kamilla21@example.com
Рубан,Марина,Алевтинівна,Жіноча,30-12-1963,Електротехнік,місто Гола Пристань,"сквер Басейний 6-й, буд. 9 кв. 368, Вишневе , 03613",933 70 29,yzaporozhets@example.org
Дробʼязко,Віра,Гаврилівна,Жіноча,02-12-1939,Стоматолог,село Гнівань,"вулиця Перлинна, буд. 08 кв. 684, Дебальцеве, 40567",+380 39 628-55-79,dbevz@example.com
Прокопович,Аліна,Аврелійовна,Жіноча,10-05-1986,Професор,село Докучаєвськ,"проспект Пересипська 9-та, буд. 376, Острог, 28590",317 89 64,ustus@example.org
Архипенко,Ольга,Тимофіївна,Жіноча,22-07-1993,Слідчий,хутір Монастирище,"узвіз 40-річчя оборони Одеси, буд. 7 кв. 6, Львів, 97826",+380 (74) 497-23-74,panteleimonkorzh@example.org
Міщенко,Ліза,Стефанівна,Жіноча,20-11-1950,Астронавт,селище Шостка,"вулиця Херсонський сквер, буд. 756 кв. 313, Оріхів, 68591",085 840 26 75,komarirena@example.org
Шахрай,Дарина,Давидівна,Жіноча,02-10-1942,Льотчик,село Миколаївка ,"парк Маріїнська, буд. 46 кв. 820, Соледар, 77150",093 49 55,edyta39@example.com
Дубенко,Орися,Назарівна,Жіноча,13-12-2007,Бізнесмен,хутір Гірник ,"сквер Академіка Ясиновського, буд. 7, Іршава, 34804",+380 10 419-59-00,xliashko@example.org
Ковпак,Орися,Орхипівна,Жіноча,14-01-1984,Візажист,місто Зеленодольськ,"набережна Олександрівський, буд. 17 кв. 49, Золоте, 83288",+380 93 982-13-21,danna30@example.net
Назаренко,Христина,Григоріївна,Жіноча,03-11-1984,Бібліотекар,село Валки ,"сквер Разумовська, буд. 996, Кролевець, 46087",+380 53 138-94-22,makohonanastasiia@example.org
Цюцюра,Віра,Кирилівна,Жіноча,27-12-1961,Складальник,село Сєвєродонецьк,"провулок Тупиковий, буд. 7, Докучаєвськ, 70731",705 21 63,ihrechko@example.com
Коваленко,Емілія,Іванівна,Жіноча,17-11-1989,Мінералог,селище Олександрівськ,"провулок Морехідна, буд. 5, Прилуки, 12503",+380 93 678-65-09,chubaisviatoslav@example.com
Данченко,Одарка,Станіславівна,Жіноча,16-09-1945,Громадський діяч,хутір Вижниця,"шосе Шилова, буд. 240 кв. 8, Оріхів, 68568",062 647 23 03,romanmasokha@example.com
Копитко,Оксенія,Теодорівна,Жіноча,14-08-1953,Науковець,хутір Свалява,"набережна Лідерсівський, буд. 15, Свалява, 62833",320-17-55,leontii62@example.org
Ткач,Сніжана,Глібівна,Жіноча,05-04-1968,Пекар,село Карлівка,"узвіз Аеродромна, буд. 744, Теребовля, 35706",+380 81 465-37-17,kbabiak@example.net
Ребрик,Пріска,Петрівна,Жіноча,27-04-1951,Редактор,хутір Миргород,"набережна Промислова, буд. 436 кв. 327, Тульчин, 13191",+380 (29) 223-01-99,iermolenkoadam@example.com
Ткач,Марія,Андріївна,Жіноча,11-09-1952,Складальник,село Збараж,"провулок Куяльницький міст, буд. 4 кв. 91, Кам'янське, 97115",086 843-45-81,alevtyn16@example.net
Бабʼяк,Варвара,Глібівна,Жіноча,30-10-1994,Геолог,село Сорокине,"провулок Студентський, буд. 308, Святогірськ, 20244",+380 15 635-64-72,tymofii85@example.org
Джус,Любов,Ярославівна,Жіноча,09-02-1946,Публіцист,місто Нововолинськ,"проспект Краснослобідський, буд. 3 кв. 28, Васильків, 90378",+380 (52) 852-23-50,bohdanhaidenko@example.net
Матяш,Маруся,Антонівна,Жіноча,28-12-1973,Дипломат,село Іловайськ,"площа Лузанівська, буд. 61, Острог, 36950",739 82 41,leopoldduplii@example.org
Козак,Валентина,Демʼянівна,Жіноча,18-04-1974,Антрополог,хутір Щастя ,"узвіз Польова, буд. 41 кв. 3, Кіцмань, 66939",257-47-19,lavrenkovenedykt@example.com
Цушко,Пріска,Макарівна,Жіноча,03-09-1973,Музикознавець,місто Броди,"шосе Поїзна, буд. 9, Рахів, 50368",008 409-52-72,marusiaoliinyk@example.com
Архипенко,Софія,Ростиславівна,Жіноча,13-07-1965,Музикант,хутір Білицьке,"узвіз Восьмого Березня Лінія 5-та, буд. 5 кв. 66, Бібрка, 53965",+380 (60) 890-70-71,semen32@example.com
Ґоляш,Марія,Юхимівна,Жіноча,07-12-1955,Геолог,село Боково-Хрустальне,"провулок Лиманчик 2-й Лінія 1-ша, буд. 581 кв. 732, Алчевськ, 80614",+380 23 820 72 37,panaszatula@example.com
Журба,Ірена,Владиславівна,Жіноча,04-09-1944,Стоматолог,місто Світловодськ,"площа Овідіопольська, буд. 15 кв. 40, Перевальськ, 81264",+380 (91) 452-82-90,kyrylo82@example.org
Дзиндра,Любов,Максимівна,Жіноча,19-11-1963,Співак,місто Ходорів,"вулиця Старорізнична, буд. 098, Вашківці, 34802",309-64-31,fursliza@example.net
Каденюк,Сніжана,Устимівна,Жіноча,27-11-1973,Хімік,селище Світлодарськ,"провулок Верф’яний, буд. 6 кв. 55, Ірміно, 84617",+380 60 407 76 51,shelestboleslav@example.net
Баран,Маруся,Давидівна,Жіноча,02-05-2007,Кушнір,місто Джанкой,"набережна Проїзний 2-й, буд. 78, Хмельницький, 30520",+380 49 638 67 70,sviatoslav02@example.com
Слюсар,Соломія,Францівна,Жіноча,12-04-1960,Науковець,селище Путивль,"вулиця Мукачівський, буд. 362, Кілія, 03350",+380 (85) 455-16-82,khorishkotaras@example.org
Баранець,Анастасія,Августинівна,Жіноча,01-02-1999,Сантехнік,селище Надвірна,"вулиця 13-та Лінія 6-й ст. Люстдорфської дороги, буд. 86, Шепетівка, 31868",+380 62 565-15-26,khrystyna14@example.net
Артим,Христина,Богданівна,Жіноча,28-06-1951,Біолог,хутір Нове Давидково,"шосе Ломоносова, буд. 99, Дрогобич, 65959",046 863 77 00,anton85@example.com
Ейбоженко,Христина,Прохорівна,Жіноча,23-01-1940,Хімік,місто Жовква,"парк Тіниста, буд. 226 кв. 4, Яремче, 05693",+380 (92) 350-22-19,ckhorishko@example.com
Гавришкевич,Альбіна,Богданівна,Жіноча,05-04-1973,Бібліотекар,хутір Славутич,"сквер Салтикова-Щедріна, буд. 762 кв. 992, Сєвєродонецьк, 92931",+380 (56) 762-35-12,svitlanavasylashko@example.org
Яценко,Любов,Данівна,Жіноча,20-06-1984,Адвокат,хутір Новгород-Сіверський,"площа Шкіперська, буд. 5 кв. 639, Молодогвардійськ, 78416",+380 16 506 21 12,irenaishchenko@example.net
Гайворонський,Розалія,Богуславівна,Жіноча,27-02-1960,Єгер,хутір Світлодарськ,"парк Шефська, буд. 99 кв. 4, Василівка , 12212",+380 27 593-64-04,hermanvernyhora@example.org
Шинкаренко,Амалія,Арсенівна,Жіноча,14-03-1972,Антрополог,хутір Соснівка ,"сквер Гілельса, буд. 2, Вишгород, 62071",+380 67 214-18-59,irena60@example.net
Фартушняк,Данна,Вікторівна,Жіноча,14-02-1957,Науковець,хутір Дубно,"площа Єврейська, буд. 49, Кагарлик, 78886",+380 24 151 18 05,yvashchenko@example.net
Бабак,Альбіна,Богодарівна,Жіноча,10-03-2004,Історик,село Вижниця,"проспект Чапаєва, буд. 63 кв. 2, Роздільна, 12046",182 27 04,padamenko@example.net
Швачка,Мілена,Станіславівна,Жіноча,24-11-1972,Публіцист,місто Молодогвардійськ,"шосе Івана Франка, буд. 6, Святогірськ, 38576",690-65-76,epanchuk@example.net
Зінчук,Наталія,Костянтинівна,Жіноча,08-04-1992,Економіст,хутір Ланівці,"провулок Софії Перовської, буд. 8, Вараш, 11694",075-11-16,levkosachenko@example.com
Самойленко,Лілія,Лукʼянівна,Жіноча,01-05-1991,Громадський діяч,селище Баштанка,"провулок Державіна, буд. 43, Кролевець, 69190",165-65-83,vitalii00@example.net
Гаврилишина,Михайлина,Германівна,Жіноча,20-03-2008,Палеонтолог,хутір Бобринець,"сквер Амундсена, 2-й, буд. 030, Зборів, 62725",+380 02 223-76-85,zakusyloruslan@example.com
Гресь,Василина,Гаврилівна,Жіноча,25-08-1978,Гірник,селище Борщів,"площа Житомирський 4-й, буд. 399, Черкаси, 23535",566-50-68,bvatamaniuk@example.net
Зінчук,Ірена,Йосипівна,Жіноча,24-09-1942,Пілот,селище Малин,"проспект Рибальський, буд. 786, Чигирин, 69572",+380 (01) 741-37-27,stverdokhlib@example.org
Гаврилишин,Анастасія,Демидівна,Жіноча,17-09-1950,Стоматолог,село Дебальцеве,"узвіз Сортувальна 2-га, буд. 450 кв. 06, Фастів, 82654",+380 72 932 34 45,bohuslava09@example.org
Василенко,Олена,Венедиктівна,Жіноча,11-07-1972,Швачка,хутір Бахчисарай,"сквер Нова, буд. 2, Тростянець, 83647",567 41 14,xvovk@example.org
Гайдабура,Еріка,Климентівна,Жіноча,05-07-1962,Паблік рилейшнз,місто Олександрівськ,"проспект Ванцетті, буд. 5 кв. 489, Славута, 58353",+380 (63) 798-96-05,wvermenych@example.org
Павленко,Ірина,Костянтинівна,Жіноча,06-07-1943,Державний службовець,хутір Ананьїв,"площа Олександра Матросова, буд. 3 кв. 886, Червоносів, 30894",040 767 35 68,virazaika@example.com
Яремко,Мілена,Вʼячеславівна,Жіноча,15-04-1999,Головний меркшейдер,хутір Турка,"узвіз Наливна, буд. 3 кв. 22, Миргород, 46227",046 424 42 52,kyryloiermolenko@example.com
Чумак,Ліза,Мартинівна,Жіноча,18-02-1974,Пілот,місто Сватове,"провулок Десятого квітня, буд. 294 кв. 1, Дебальцеве, 95745",+380 (46) 734-21-00,snizhana48@example.net
Франчук,Емілія,Остапівна,Жіноча,09-01-1997,Кухар,місто Комарно,"вулиця Тимірязєва 3-й, буд. 991 кв. 7, Мена , 19448",+380 26 835 06 12,iurchenkoprokhir@example.net
Голик,Ірена,Дмитріївна,Жіноча,10-06-1959,Скульптор,місто Вилкове,"провулок Міцкевича, буд. 4, Збараж, 02356",+380 84 091 16 52,iaroslava75@example.org
Іщак,Оксана,Венедиктівна,Жіноча,15-02-1985,Архітектор,селище Золоте,"вулиця Шишкіна, буд. 641, Мукачево, 88158",078 147-77-70,ruslanhuk@example.org
Терещенко,Маруся,Леопольдівна,Жіноча,22-04-1941,Фізик,місто Сторожинець,"шосе Софіївська, буд. 082, Берислав, 90745",+380 56 967-07-69,deriazhnaaaron@example.org
Рудько,Надія,Варфоломіївна,Жіноча,31-05-1963,Провізор,хутір Радехів,"площа Сортувальна 1-ша, буд. 45 кв. 4, Березівка, 18398",692-46-63,karmaliukpylyp@example.com
Венгринович,Алла,Лесівна,Жіноча,17-04-1967,Шериф,село Сквира,"проспект Кавказький, буд. 93, Решетилівка, 22183",+380 28 236 91 17,bhavrysh@example.com
Худяк,Надія,Романівна,Жіноча,28-10-1980,Конструктор,місто Вижниця,"парк Академіка Вільямса, буд. 0, Голубівка, 21161",+380 24 120-48-29,tereza90@example.com
Приходько,Софія,Данівна,Жіноча,22-06-1940,Музикант,хутір Узин,"проспект Лінійний, буд. 360, Кременчук, 51252",+380 81 229-01-95,leonbatiuk@example.com
Макогон,Анастасія,Арсенівна,Жіноча,28-12-1958,Медик,хутір Шаргород,"узвіз Бузкова, буд. 6 кв. 24, Монастириська, 07262",+380 (20) 165-14-09,drozdenkoiustym@example.org
Червоненко,Ганна,Бориславівна,Жіноча,09-09-1940,Економіст,хутір Лиман ,"проспект Вапняне селище, буд. 0 кв. 91, Самбір, 88715",067 337 64 07,pylypenkoorest@example.net
Хмара,Наталія,Іллівна,Жіноча,14-05-2006,Конструктор,селище Курахове,"шосе Поштовий, буд. 607, Вугледар, 38623",+380 25 602-13-46,davyd41@example.net
Романець,Алла,Пантелеймонівна,Жіноча,13-09-2003,Промисловець,місто Подільськ,"шосе Училищна, буд. 4 кв. 02, Ірпінь, 41969",041 734-29-40,lavrenkoavrelii@example.org
Лемешко,Аліна,Олександрівна,Жіноча,23-07-1972,Співак,хутір Белз,"узвіз 19-та Лінія, буд. 3 кв. 1, Охтирка, 43946",+380 (37) 959-58-86,davydchuiko@example.com
Шутько,Аніта,Демидівна,Жіноча,09-07-1955,Сценарист,село Баштанка,"парк Михайла Божія, буд. 61 кв. 1, Турка, 65304",+380 02 776 13 64,fedirieromenko@example.net
Мазепа,Оксенія,Олександрівна,Жіноча,18-08-1964,Фермер,село Ужгород,"парк Авіаторів, буд. 04, Сміла, 60927",+380 35 757-56-65,iaroshlarysa@example.org
Сич,Софія,Миронівна,Жіноча,01-09-1945,Мистецтвознавець,місто Сєвєродонецьк,"вулиця Гагаріна, буд. 58, Балаклія, 19076",+380 26 632-34-11,khoma77@example.com
Нестеренко,Сніжана,Бориславівна,Жіноча,16-05-1939,Конструктор,хутір Кілія,"шосе Зарічна, буд. 0, Тальне, 96560",163 85 69,boryslavchekaliuk@example.org
Приймак,Лариса,Мартинівна,Жіноча,25-11-1939,Психолог,селище Сєвєродонецьк,"набережна Рощева, буд. 81, Мала Виска, 08113",001 953 95 87,ckhrystenko@example.org
Тягнибок,Емілія,Едуардівна,Жіноча,02-12-1948,Мікробіолог,місто Чоп,"сквер Новомосковська дорога, буд. 4, Добромиль, 53297",805 00 80,maryna92@example.org
Рубан,Ганна,Тарасівна,Жіноча,20-09-1945,Патологоанатом,село Буча,"сквер Офіцерський 1-й, буд. 049 кв. 9, Мостиська, 74910",018 710-76-59,ogerus@example.org
Бгиденко,Галина,Несторівна,Жіноча,25-03-1987,Мірошник,місто Білопілля,"сквер Травневий 2-й, буд. 112 кв. 32, Іршава, 58756",046 098-67-69,viktoriia05@example.org
Шведченко,Ада,Максимівна,Жіноча,29-06-1991,Сантехнік,хутір Алмазна,"площа Куниці, буд. 8, Буча, 07305",060 627 14 18,ababychenko@example.net
Ґоляш,Ірина,Владиславівна,Жіноча,04-11-1969,Ботанік,місто Молочанськ,"площа Кедровий, буд. 4 кв. 472, Волноваха, 55945",+380 56 477-26-21,mazepaieva@example.net
Ященко,Анжела,Трохимівна,Жіноча,06-03-1998,Інженер,хутір Ніжин,"шосе Чорноморський 10-й, буд. 316 кв. 4, Бучач, 70828",+380 31 079-19-80,cherednykolena@example.net
Штокало,Аніта,Артемівна,Жіноча,07-07-1950,Етнограф,місто Суходільськ,"площа Лінія 39-та, буд. 778 кв. 4, Білогірськ, 05598",+380 98 426-87-19,adamchuktereza@example.net
Ісаєнко,Надія,Станіславівна,Жіноча,25-12-2001,Зоолог,село Кремінна,"сквер Монгольська, буд. 733, Рубіжне, 40379",027 451 46 89,davydhavriushenko@example.com
Верменич,Аніта,Іванівна,Жіноча,03-02-1952,Електрик,село Краматорськ,"набережна Старокінний, буд. 135 кв. 99, Вижниця, 58200",007 685 18 68,hlibgerus@example.net
Мірошниченко,Анжела,Варфоломіївна,Жіноча,04-12-1973,Гірник,селище Новомиргород,"шосе 6-та Лінія 6-й ст. Люстдорфської дороги, буд. 012 кв. 5, Радивилів, 27734",+380 86 265-36-14,trokhym35@example.com
Яковенко,Роксолана,Опанасівна,Жіноча,16-12-2003,Соціолог,село Бурштин ,"вулиця Леха Качинського, буд. 917 кв. 2, Луганськ, 72993",+380 (76) 577-94-80,ierchenkoanastasiia@example.org
Чуприна,Мілена,Спасівна,Жіноча,20-04-1978,Інженер,місто Мелітополь,"парк Дачний 2-й, буд. 010, Косів, 24948",020 216-17-42,balabaniarema@example.net
Дутка,Аліна,Макарівна,Жіноча,23-03-1950,Слідчий,місто Кам'янець-Подільський,"шосе 5-та Лінія Марії Демченко, буд. 2 кв. 686, Тульчин, 92553",953-71-14,frantspavlenko@example.org
Гавриленко,Святослава,Ааронівна,Жіноча,15-11-1984,Пекар,село Армянськ,"провулок Планетна, буд. 83 кв. 0, Авдіївка, 25196",+380 17 219-62-24,nataliiavenhrynovych@example.net
Стус,Одарка,Трохимівна,Жіноча,03-06-1995,Археолог,село Деражня,"провулок Середньофонтанський, буд. 0 кв. 4, Докучаєвськ, 80563",008 938-13-87,irynaromanets@example.net
Атрощенко,Софія,Єлисеївна,Жіноча,22-03-1954,Економіст,селище Алупка,"парк Лінія 24-та, буд. 2, Хмельницький, 53920",291-11-60,konoplenkoliubov@example.com
Фоменко,Розалія,Борисівна,Жіноча,26-01-1976,Професор,місто Докучаєвськ,"набережна Старорізнична, буд. 2, Рені, 66206",071 020-16-61,rebrykiaroslav@example.net
Рак,Вікторія,Антонівна,Жіноча,02-01-1993,Інженер,місто Жовква,"вулиця Бісквітний, буд. 84, Зіньків, 97613",+380 97 511-38-40,umanetsamaliia@example.net
Василевич,Аніта,Макарівна,Жіноча,17-05-1957,Акушер,село Бахмут,"набережна Георгія Гамова, буд. 0, Севастополь, 01512",843-30-44,wiatseniuk@example.org
Андрусенко,Альбіна,Сергіївна,Жіноча,10-03-1956,Флорист,селище Горішні Плавні,"набережна Лиманчик 2-й Лінія 5-та, буд. 556, Залізне, 30424",399 06 95,larysachupryna@example.org
Кириленко,Оксенія,Віталіївна,Жіноча,11-12-1969,Шериф,місто Ходорів,"площа Старобазарний, буд. 150, Севастополь, 04027",954-21-44,antonshovkoplias@example.org
Чабан,Віолетта,Олександрівна,Жіноча,18-09-1940,Гірник,село Львів,"проспект Пілотна, буд. 89 кв. 6, Слов'янськ, 02619",003-53-70,svitlana45@example.com
Василашко,Ольга,Богданівна,Жіноча,15-01-1957,Водій,селище Привілля,"узвіз Воронезька, буд. 263 кв. 43, Охтирка, 60272",641-18-39,bakumenkoostap@example.com
Дуплій,Тереза,Альбертівна,Жіноча,18-11-1965,Клоун,село Суми,"площа Хлібна гавань, буд. 482, Кременчук, 70477",+380 57 315-96-35,qtereshchenko@example.net
Ісаєвич,Сніжана,Геннадіївна,Жіноча,20-12-2007,Реабілітолог,місто Іловайськ,"парк Новобазарний, буд. 74, Устилуг, 72186",066 680 72 85,rprokopovych@example.net
Слюсар,Віра,Алевтинівна,Жіноча,28-11-1941,Мінералог,місто Борщів,"парк Магнітогорська, буд. 012 кв. 097, Роздільна, 25656",047 473-69-30,svitlana09@example.com
Чередник,Василина,Миронівна,Жіноча,22-01-1948,Машиніст,хутір Кролевець,"шосе 2-й Академічний тупик, буд. 591, Южноукраїнськ, 94975",+380 82 003-79-15,fursliubov@example.com
Харченко,Тетяна,Юхимівна,Жіноча,23-06-1954,Круп'є,хутір Чернівці,"площа Львівська, буд. 25, Хорол , 58604",594-01-90,nmalyshko@example.net
Артюх,Ярослава,Юхимівна,Жіноча,10-03-1977,Гицель,місто Дубровиця,"шосе Макаренка, буд. 0, Мала Виска, 30247",+380 47 633-41-34,amvrosii45@example.net
Цимбалюк,Надія,Єфремівна,Жіноча,02-07-1991,Електрик,селище Червоносів,"набережна Рибальська балка, буд. 0 кв. 0, Тараща, 19831",962 47 80,ihorkaras@example.com
Карпа,Ярина,Данилівна,Жіноча,27-03-1942,Дизайнер,хутір Вуглегірськ,"шосе Середньофонтанський, буд. 347, Селидове, 03623",073 725-60-56,viacheslavsimashkevych@example.com
Калениченко,Тетяна,Костянтинівна,Жіноча,05-06-1983,Професор,хутір Сватове,"набережна Друга, буд. 5, Підгородне, 59635",+380 20 367-56-33,boryskyrylenko@example.com
Іщенко,Оксана,Симонівна,Жіноча,21-07-1963,Медик,село Соснівка ,"сквер ім. С.Ю. Вітте, буд. 8 кв. 81, Вижниця, 74180",330-38-00,rvobla@example.com
Конопля,Одарка,Григоріївна,Жіноча,22-12-1952,Публіцист,село Гайсин,"парк Красна, буд. 610 кв. 085, Золотоноша, 47948",+380 50 052-30-57,lesbalaban@example.org
Ґалаґан,Анжела,Демʼянівна,Жіноча,30-10-1957,Гірничий інженер,хутір Лисичанськ,"шосе Мацієвської узвіз, буд. 7, Дубляни, 96556",646 67 29,vladyslav64@example.net
Лагода,Вікторія,Леонтіївна,Жіноча,14-11-1946,Бібліограф,село Хрестівка,"сквер Високий, буд. 29, Білогірськ, 95625",+380 00 076 73 24,danylenkotrokhym@example.org
Панчук,Галина,Давидівна,Жіноча,13-05-1987,Інженер,селище Кривий Ріг,"сквер Аеропортівський 1-й, буд. 070, Сторожинець, 44872",124-00-80,cshtokalo@example.org
Даньків,Данна,Захарівна,Жіноча,12-04-1970,Пекар,селище Дніпро ,"сквер Кавунова, буд. 9, Переяслав, 93741",326 94 69,ntsymbaliuk@example.com
Бабенко,Мілена,Михайлівна,Жіноча,25-08-1986,Патологоанатом,хутір Славутич,"парк Цегляна, буд. 6, Гола Пристань, 89211",047 568-51-60,emiliiavasylevych@example.org
Іванченко,Василина,Юстимівна,Жіноча,04-02-1979,Льотчик,селище Чернігів,"проспект Дністровська, буд. 382, Інкерман, 54792",291 25 99,arkhymovychorkhyp@example.org
Іващенко,Віра,Тимофіївна,Жіноча,31-07-1970,Каскадер,село Боярка,"шосе Просвіти, буд. 070, Середина-Буда, 87751",+380 76 302 86 88,cvashchenko@example.net
Андрійович,Юстина,Степанівна,Жіноча,27-06-1973,Редактор,селище Нова Одеса,"вулиця Літакова, буд. 8, Теребовля, 19654",+380 28 444-48-98,derehusleonid@example.net
